0.5 -0.0625 0.1875 0.0625 | 1.5
-0.0625 0.5 0 0 | -1.625
0.1875 0 0.375 0.125 | 1
0.0625 0 0.125 0.25 | 0.4375

8 1 2 3 | 28
1 6 1 -1 | 12
2 1 18 2 | 66
3 -1 2 40 | 167

4 -1 -1 0 | 1
-1 4 0 -1 | 2
-1 0 4 -1 | 0
0 -1 -1 4 | 1


-----------------------------------------------
Podana macierz nie jest diagonalnie dominująca:
1 0.5 1 0.2 | 5.2
0.1 3 0.2 0.4 | 7.1
0.3 1 2 1 | 9.3
1 0.5 0.2 3 | 5.6

3 3 1 | 1
2 5 7 | 20
-4 -10 -14 | -40

3 3 1 | 1
2 5 7 | 20
-4 -10 -14 | -20

10 -5 1 | 3
4 -7 2 | -4
5 1 4 | 19

3 3 1 | 12
2 5 7 | 33
1 2 1 | 8

3 2 1 -1 | 0
5 -1 1 2 | -4
1 -1 1 2 | 4
7 8 1 -7 | 6

6 -4 2 | 4
-5 5 2 | 11
0.9 0.9 3.6 | 13.5

4 -1 0 | 5
-1 4 -1 | -7
0 -1 3 | 50

1 1 | 3
2 2 | 5

2 1 | 4
1 2 | 5
